Listing_ID,Seller_ID,Feedback_Score,Condition_ID,Condition_Name,Standard_Condition,Laptop_ID,Brand,Ram_Size,Storage_Type,Storage_Capacity,Price,Currency,Shipping_Cost,Total_Cost
v1|306220146668|0,antonline,99.2,1000,New,New,v1|306220146668|0,Intel,8GB,Unknown,Unknown,461.31,USD,0.0,461.31
v1|276762253516|0,awesome.bargains,97.1,1000,New,New,v1|276762253516|0,Asus,4GB,Unknown,64GB,143.0,USD,0.0,143.0
v1|205204663235|0,baimil1558,0.0,1000,New,New,v1|205204663235|0,HP,8GB,Unknown,192GB,375.0,USD,0.0,375.0
v1|116339528463|0,basiccomputer,95.7,1000,New,New,v1|116339528463|0,Asus,Unknown,Unknown,Unknown,410.0,USD,35.0,445.0
v1|236032674577|0,beachaudio,98.8,1000,New,New,v1|236032674577|0,Lenovo,Unknown,Unknown,Unknown,355.59,USD,0.0,355.59
v1|126529000424|0,beny2011,98.9,1000,New,New,v1|126529000424|0,Intel,4GB,Unknown,128GB,196.0,USD,0.0,196.0
v1|326202671916|0,best_buy,95.7,1000,New,New,v1|326202671916|0,HP,8GB,Unknown,Unknown,449.99,USD,0.0,449.99
v1|196833929651|0,best_buy,95.7,1000,New,New,v1|196833929651|0,Intel,Unknown,Unknown,Unknown,549.99,USD,0.0,549.99
v1|326346360075|0,best_buy,95.7,1000,New,New,v1|326346360075|0,HP,8GB,SSD,512GB,499.99,USD,0.0,499.99
v1|326346609367|0,best_buy,95.7,1000,New,New,v1|326346609367|0,Lenovo,4GB,Unknown,Unknown,279.99,USD,0.0,279.99
v1|196337655134|0,best_buy,95.7,1000,New,New,v1|196337655134|0,HP,4GB,Unknown,64GB,159.0,USD,0.0,159.0
v1|205363813554|0,best_buy,95.7,1000,New,New,v1|205363813554|0,Intel,4GB,Unknown,64GB,130.99,USD,0.0,130.99
v1|204735223831|0,best_buy,95.7,1000,New,New,v1|204735223831|0,Intel,Unknown,Unknown,Unknown,369.0,USD,0.0,369.0
v1|326185324610|0,best_buy,95.7,1000,New,New,v1|326185324610|0,Asus,4GB,Unknown,Unknown,229.0,USD,0.0,229.0
v1|326094967184|0,best_buy,95.7,1000,New,New,v1|326094967184|0,Asus,4GB,Unknown,Unknown,139.0,USD,0.0,139.0
v1|335580953009|0,bestptv,98.6,1000,New,New,v1|335580953009|0,HP,16GB,Unknown,128GB,239.99,USD,0.0,239.99
v1|335831078458|0,bestptv,98.6,1000,New,New,v1|335831078458|0,Intel,32GB,SSD,1TB,469.99,USD,0.0,469.99
v1|175544934027|0,betsabalvare-0,0.0,1000,New,New,v1|175544934027|0,Asus,Unknown,Unknown,Unknown,350.0,USD,0.0,350.0
v1|226674052121|0,big2004spender,100.0,1000,New,New,v1|226674052121|0,Intel,16GB,Unknown,256GB,429.99,USD,0.0,429.99
v1|196993704787|0,bigtimecloseouts,98.9,1000,New,New,v1|196993704787|0,Intel,Unknown,Unknown,Unknown,115.99,USD,6.99,122.98
v1|196993697140|0,bigtimecloseouts,98.9,1000,New,New,v1|196993697140|0,Intel,4GB,Unknown,Unknown,119.99,USD,6.99,126.98
v1|126967229690|428115979916,blivenowsystems,0.0,1000,New,New,v1|126967229690|428115979916,Intel,16GB,SSD,2TB,203.99,USD,25.0,228.99
v1|126705521947|0,bluegr_5309,100.0,1000,New,New,v1|126705521947|0,HP,8GB,Unknown,512GB,559.0,USD,0.0,559.0
v1|297099615242|0,brandsmartusa,98.7,1000,New,New,v1|297099615242|0,Gateway,8GB,Unknown,256GB,247.77,USD,0.0,247.77
v1|394893548067|0,buy-from-here,99.2,1000,New,New,v1|394893548067|0,Intel,Unknown,Unknown,Unknown,549.99,USD,0.0,549.99
v1|256761381987|0,buy_computer_direct_inc,99.4,1000,New,New,v1|256761381987|0,Dell,8GB,SSD,512GB,519.0,USD,0.0,519.0
v1|286105319665|0,buy_computer_direct_inc,99.4,1000,New,New,v1|286105319665|0,Intel,8GB,SSD,1TB,619.0,USD,0.0,619.0
v1|326276087761|0,buydig,98.9,1000,New,New,v1|326276087761|0,Acer,8GB,Unknown,Unknown,404.79,USD,0.0,404.79
v1|126662072334|0,c1ndy_99,0.0,1000,New,New,v1|126662072334|0,HP,Unknown,Unknown,Unknown,275.0,USD,0.0,275.0
v1|365485295627|0,cargolargo,99.1,1000,New,New,v1|365485295627|0,HP,64GB,Unknown,Unknown,179.98,USD,0.0,179.98
v1|405723218959|0,cargolargo,99.1,1000,New,New,v1|405723218959|0,Intel,Unknown,Unknown,256GB,329.99,USD,0.0,329.99
v1|365505174293|0,cargolargo,99.1,1000,New,New,v1|365505174293|0,Intel,Unknown,Unknown,128GB,354.99,USD,0.0,354.99
v1|167311674920|0,cgelectronics16,99.8,1000,New,New,v1|167311674920|0,HP,16GB,Unknown,1TB,399.0,USD,0.0,399.0
v1|325468305091|0,chelseallc,100.0,1000,New,New,v1|325468305091|0,Microsoft,Unknown,Unknown,Unknown,500.0,USD,9.99,509.99
v1|384335911257|0,chriboyi_8,0.0,1000,New,New,v1|384335911257|0,Samsung,Unknown,Unknown,Unknown,155.0,USD,0.0,155.0
v1|335503508427|0,chuwi2018,98.9,1000,New,New,v1|335503508427|0,Intel,8GB,SSD,256GB,107.99,USD,0.0,107.99
v1|335440300363|544854797075,chuwi2018,98.9,1000,New,New,v1|335440300363|544854797075,Intel,8GB,SSD,256GB,119.99,USD,0.0,119.99
v1|335386031946|544767632197,chuwi2018,98.9,1000,New,New,v1|335386031946|544767632197,CHUWI,8GB,Unknown,256GB,119.99,USD,0.0,119.99
v1|335585942713|0,chuwi2018,98.9,1000,New,New,v1|335585942713|0,Intel,Unknown,SSD,128GB,108.72,USD,0.0,108.72
v1|335294915108|0,chuwi2018,98.9,1000,New,New,v1|335294915108|0,Intel,12GB,SSD,512GB,307.57,USD,0.0,307.57
v1|335838101983|0,chuwi2018,98.9,1000,New,New,v1|335838101983|0,CHUWI,8GB,Unknown,256GB,124.99,USD,0.0,124.99
v1|335331221629|544738307838,chuwi2018,98.9,1000,New,New,v1|335331221629|544738307838,Intel,16GB,SSD,256GB,193.59,USD,0.0,193.59
v1|335418644387|0,chuwi2018,98.9,1000,New,New,v1|335418644387|0,Intel,8GB,SSD,256GB,177.99,USD,0.0,177.99
v1|396320750534|0,chuwiofficial,98.7,1000,New,New,v1|396320750534|0,Intel,8GB,SSD,256GB,127.99,USD,0.0,127.99
v1|395334057390|0,chuwiofficial,98.7,1000,New,New,v1|395334057390|0,Intel,8GB,SSD,256GB,196.99,USD,0.0,196.99
v1|315934177454|0,chuwitech,100.0,1000,New,New,v1|315934177454|0,Intel,Unknown,SSD,512GB,469.99,USD,0.0,469.99
v1|305606511073|0,comptechdirect,96.6,1000,New,New,v1|305606511073|0,HP,4GB,Unknown,64GB,354.78,USD,0.0,354.78
v1|226487521384|0,ctwu41,99.2,1000,New,New,v1|226487521384|0,HP,16GB,SSD,1TB,679.49,USD,0.0,679.49
v1|325494325330|0,ctwu41,99.2,1000,New,New,v1|325494325330|0,Acer,16GB,Unknown,1TB,599.49,USD,0.0,599.49
v1|196914852569|0,cu_7406,0.0,1000,New,New,v1|196914852569|0,Intel,8GB,Unknown,256GB,189.0,USD,0.0,189.0
v1|196953661158|0,cu_7406,0.0,1000,New,New,v1|196953661158|0,Intel,8GB,Unknown,256GB,365.0,USD,0.0,365.0
v1|196948379111|0,cu_7406,0.0,1000,New,New,v1|196948379111|0,Intel,8GB,Unknown,256GB,338.88,USD,0.0,338.88
v1|315802847635|614253448500,cyberarch_net,95.8,1000,New,New,v1|315802847635|614253448500,ThinkPad,Unknown,Unknown,Unknown,499.0,USD,0.0,499.0
v1|267166879713|0,deaconsdeals,98.4,1000,New,New,v1|267166879713|0,Intel,8GB,SSD,128GB,260.0,USD,0.0,260.0
v1|306061940083|0,deal_targets,99.3,1000,New,New,v1|306061940083|0,Acer,Unknown,Unknown,Unknown,531.32,USD,17.73,549.05
v1|306059830653|0,deal_targets,99.3,1000,New,New,v1|306059830653|0,HP,Unknown,Unknown,Unknown,325.6,USD,17.73,343.33
v1|335656011553|0,dealjustdeal,99.5,1000,New,New,v1|335656011553|0,Intel,16GB,Unknown,512GB,579.0,USD,0.0,579.0
v1|335483167008|0,dealjustdeal,99.5,1000,New,New,v1|335483167008|0,Intel,8GB,SSD,512GB,469.0,USD,0.0,469.0
v1|146442855326|0,dealsfellow,100.0,1000,New,New,v1|146442855326|0,Asus,8GB,SSD,512GB,419.99,USD,0.0,419.99
v1|286077363343|0,dehern_2286,0.0,1000,New,New,v1|286077363343|0,HP,Unknown,Unknown,Unknown,290.0,USD,15.0,305.0
v1|226135875813|0,dell,95.5,1000,New,New,v1|226135875813|0,Intel,Unknown,SSD,512GB,599.99,USD,0.0,599.99
v1|226413941151|0,dell,95.5,1000,New,New,v1|226413941151|0,Intel,Unknown,SSD,1TB,519.99,USD,0.0,519.99
v1|226278921142|0,dell,95.5,1000,New,New,v1|226278921142|0,Intel,Unknown,SSD,512GB,479.99,USD,0.0,479.99
v1|226135883149|0,dell,95.5,1000,New,New,v1|226135883149|0,Dell,16GB,SSD,1TB,629.99,USD,0.0,629.99
v1|226126865437|0,dell,95.5,1000,New,New,v1|226126865437|0,Intel,Unknown,SSD,512GB,379.99,USD,0.0,379.99
v1|404014654925|0,dinavia_97,0.0,1000,New,New,v1|404014654925|0,Lenovo,Unknown,Unknown,Unknown,210.0,USD,15.0,225.0
v1|176735949076|0,discountcomputers9,100.0,1000,New,New,v1|176735949076|0,Intel,16GB,SSD,512GB,599.0,USD,0.0,599.0
v1|356461052823|0,dmlkl2012,95.4,1000,New,New,v1|356461052823|0,Lenovo,8GB,SSD,256GB,269.0,USD,0.0,269.0
v1|226613406266|0,eboy4sale,99.0,1000,New,New,v1|226613406266|0,Intel,4GB,Unknown,32GB,219.96,USD,0.0,219.96
v1|365320758350|635093971011,electrabuy,96.6,1000,New,New,v1|365320758350|635093971011,HP,16GB,Unknown,128GB,189.99,USD,0.0,189.99
v1|365459893576|635263725384,electrabuy,96.6,1000,New,New,v1|365459893576|635263725384,Intel,40GB,SSD,2TB,655.49,USD,0.0,655.49
v1|294950007014|593252784261,electronics*store,100.0,1000,New,New,v1|294950007014|593252784261,Intel,6GB,SSD,128GB,300.28,USD,9.36,309.64
v1|335841532026|0,electronicsvilla,100.0,1000,New,New,v1|335841532026|0,Acer,12GB,SSD,512GB,399.99,USD,0.0,399.99
v1|306141059836|0,elsiehi-17,100.0,1000,New,New,v1|306141059836|0,Intel,16GB,Unknown,Unknown,680.64,USD,0.0,680.64
v1|356468247198|0,endeardistributors,99.6,1000,New,New,v1|356468247198|0,Lenovo,8GB,SSD,256GB,289.95,USD,0.0,289.95
v1|286390403835|0,endeardistributors,99.6,1000,New,New,v1|286390403835|0,HP,8GB,SSD,512GB,374.99,USD,0.0,374.99
v1|376024023026|0,esquared2018,97.8,1000,New,New,v1|376024023026|0,HP,4GB,Unknown,64GB,139.98,USD,0.0,139.98
v1|205373817714|0,eureka-_-moments,100.0,1000,New,New,v1|205373817714|0,Intel,8GB,Unknown,64GB,211.95,USD,0.0,211.95
v1|296287876436|0,ev_industries,98.8,1000,New,New,v1|296287876436|0,Lenovo,4GB,Unknown,64GB,125.0,USD,15.0,140.0
v1|126762153200|0,ezprobay99,98.4,1000,New,New,v1|126762153200|0,HP,4GB,Unknown,64GB,174.99,USD,0.0,174.99
v1|126893263677|0,ezprobay99,98.4,1000,New,New,v1|126893263677|0,Dell,8GB,SSD,512GB,344.99,USD,0.0,344.99
v1|205268026003|0,fairtradeheart,66.7,1000,New,New,v1|205268026003|0,HP,Unknown,Unknown,1TB,120.0,USD,0.0,120.0
v1|256514865400|0,feeloup_69,100.0,1000,New,New,v1|256514865400|0,Acer,Unknown,Unknown,Unknown,115.0,USD,0.0,115.0
v1|375915889951|0,flame3814,0.0,1000,New,New,v1|375915889951|0,HP,8GB,Unknown,512GB,420.0,USD,0.0,420.0
v1|396359079090|0,freshfinds.online,97.4,1000,New,New,v1|396359079090|0,Intel,16GB,SSD,512GB,615.0,USD,0.0,615.0
v1|156328632776|0,gamespro2011,100.0,1000,New,New,v1|156328632776|0,Intel,16GB,SSD,512GB,399.0,USD,0.0,399.0
v1|296603351459|0,garage_sales_us,100.0,1000,New,New,v1|296603351459|0,HP,8GB,Unknown,256GB,475.0,USD,0.0,475.0
v1|375082470418|644150666423,general_technologies,100.0,1000,New,New,v1|375082470418|644150666423,Intel,12GB,SSD,1TB,359.0,USD,0.0,359.0
v1|126724004458|0,glen.tech,98.9,1000,New,New,v1|126724004458|0,HP,8GB,Unknown,256GB,299.99,USD,0.0,299.99
v1|167276267628|0,goddessxoxo,100.0,1000,New,New,v1|167276267628|0,HP,4GB,Unknown,64GB,450.0,USD,0.0,450.0
v1|116405704450|0,greatbuy,99.0,1000,New,New,v1|116405704450|0,HP,8GB,SSD,512GB,408.75,USD,0.0,408.75
v1|296937255368|0,greatbuy,99.0,1000,New,New,v1|296937255368|0,HP,8GB,SSD,256GB,318.75,USD,0.0,318.75
v1|296954848313|0,greatbuy,99.0,1000,New,New,v1|296954848313|0,Acer,8GB,SSD,128GB,264.85,USD,0.0,264.85
v1|306207643153|0,greatbuy,99.0,1000,New,New,v1|306207643153|0,HP,8GB,SSD,512GB,547.75,USD,0.0,547.75
v1|266663253522|0,hadifrie,100.0,1000,New,New,v1|266663253522|0,Intel,4GB,SSD,128GB,136.0,USD,0.0,136.0
v1|126716305927|427765182035,hellogoodlife1,98.1,1000,New,New,v1|126716305927|427765182035,Intel,20GB,SSD,1TB,239.0,USD,0.0,239.0
v1|116453646030|416742535684,hellogoodlife1,98.1,1000,New,New,v1|116453646030|416742535684,HP,64GB,SSD,2TB,489.0,USD,0.0,489.0
v1|146131418212|0,hellogoodlife1,98.1,1000,New,New,v1|146131418212|0,HP,32GB,SSD,1TB,489.0,USD,0.0,489.0
v1|116345882068|416605981305,hellogoodlife1,98.1,1000,New,New,v1|116345882068|416605981305,HP,16GB,Unknown,Unknown,258.8,USD,0.0,258.8
v1|126730618278|0,hellogoodlife1,98.1,1000,New,New,v1|126730618278|0,Intel,32GB,SSD,1TB,549.0,USD,0.0,549.0
v1|126716325548|0,hellogoodlife1,98.1,1000,New,New,v1|126716325548|0,Intel,20GB,SSD,1TB,329.0,USD,0.0,329.0
v1|116361722744|416629060857,hellogoodlife1,98.1,1000,New,New,v1|116361722744|416629060857,HP,64GB,SSD,2TB,649.0,USD,0.0,649.0
v1|116453645269|0,hellogoodlife1,98.1,1000,New,New,v1|116453645269|0,HP,32GB,SSD,1TB,539.0,USD,0.0,539.0
v1|146402237585|0,hellogoodlife1,98.1,1000,New,New,v1|146402237585|0,HP,32GB,SSD,1TB,539.0,USD,0.0,539.0
v1|126682179899|0,hellogoodlife1,98.1,1000,New,New,v1|126682179899|0,Intel,24GB,SSD,1TB,659.0,USD,0.0,659.0
v1|146402238727|445215246705,hellogoodlife1,98.1,1000,New,New,v1|146402238727|445215246705,HP,64GB,SSD,2TB,459.0,USD,0.0,459.0
v1|146464755272|445247636743,hellogoodlife1,98.1,1000,New,New,v1|146464755272|445247636743,Intel,40GB,SSD,2TB,359.0,USD,0.0,359.0
v1|146217047090|0,hellogoodlife1,98.1,1000,New,New,v1|146217047090|0,Intel,24GB,SSD,1TB,479.0,USD,0.0,479.0
v1|116529451458|0,hellogoodlife1,98.1,1000,New,New,v1|116529451458|0,Lenovo,24GB,SSD,1TB,499.0,USD,0.0,499.0
v1|145920820468|444963231709,hellogoodlife1,98.1,1000,New,New,v1|145920820468|444963231709,HP,32GB,SSD,1TB,349.0,USD,0.0,349.0
v1|126640514700|427683270692,hellogoodlife1,98.1,1000,New,New,v1|126640514700|427683270692,HP,32GB,SSD,2TB,409.0,USD,0.0,409.0
v1|126031839415|0,hellogoodlife1,98.1,1000,New,New,v1|126031839415|0,Intel,20GB,SSD,1TB,419.0,USD,0.0,419.0
v1|116401038536|416680062343,hellogoodlife1,98.1,1000,New,New,v1|116401038536|416680062343,Intel,40GB,SSD,2TB,559.0,USD,0.0,559.0
v1|126614911424|427657946337,hellogoodlife1,98.1,1000,New,New,v1|126614911424|427657946337,Lenovo,40GB,SSD,2TB,599.0,USD,0.0,599.0
v1|145568078726|0,hellogoodlife1,98.1,1000,New,New,v1|145568078726|0,HP,16GB,SSD,1TB,419.5,USD,0.0,419.5
v1|126318142095|0,hellogoodlife1,98.1,1000,New,New,v1|126318142095|0,Intel,16GB,Unknown,512GB,529.99,USD,0.0,529.99
v1|126633943541|427677019766,hellogoodlife1,98.1,1000,New,New,v1|126633943541|427677019766,Intel,40GB,SSD,2TB,289.0,USD,0.0,289.0
v1|126744543781|427807182031,hellogoodlife1,98.1,1000,New,New,v1|126744543781|427807182031,Intel,40GB,SSD,2TB,389.0,USD,0.0,389.0
v1|146416413593|445223714316,hellogoodlife1,98.1,1000,New,New,v1|146416413593|445223714316,Intel,40GB,SSD,2TB,339.0,USD,0.0,339.0
v1|126895558626|428047425207,hellogoodlife1,98.1,1000,New,New,v1|126895558626|428047425207,HP,64GB,SSD,2TB,409.0,USD,0.0,409.0
v1|146217006938|445101325580,hellogoodlife1,98.1,1000,New,New,v1|146217006938|445101325580,Intel,40GB,SSD,2TB,499.0,USD,0.0,499.0
v1|127031830640|0,infinityfinds210,0.0,1000,New,New,v1|127031830640|0,Asus,4GB,Unknown,64GB,134.99,USD,0.0,134.99
v1|126952975224|0,interstr-0,99.1,1000,New,New,v1|126952975224|0,Intel,Unknown,Unknown,Unknown,361.32,USD,0.0,361.32
v1|167355189373|0,jender.io,99.0,1000,New,New,v1|167355189373|0,Intel,8GB,Unknown,1TB,249.99,USD,0.0,249.99
v1|167331664187|0,jender.io,99.0,1000,New,New,v1|167331664187|0,Intel,8GB,Unknown,1TB,249.99,USD,0.0,249.99
v1|167331661579|0,jender.io,99.0,1000,New,New,v1|167331661579|0,Intel,8GB,Unknown,1TB,249.99,USD,0.0,249.99
v1|167331660339|0,jender.io,99.0,1000,New,New,v1|167331660339|0,Intel,8GB,Unknown,1TB,249.99,USD,0.0,249.99
v1|387989090556|0,jsalldeal,99.3,1000,New,New,v1|387989090556|0,HP,4GB,Unknown,64GB,152.1,USD,0.0,152.1
v1|355056731485|0,junguti-53,100.0,1000,New,New,v1|355056731485|0,HP,Unknown,Unknown,Unknown,160.0,USD,0.0,160.0
v1|376032868649|0,kamruidirect,99.6,1000,New,New,v1|376032868649|0,Intel,16GB,SSD,512GB,399.0,USD,0.0,399.0
v1|176435787552|0,kdthrock,100.0,1000,New,New,v1|176435787552|0,Intel,4GB,Unknown,128GB,265.99,USD,0.0,265.99
v1|146456941048|0,khaderhamida0,100.0,1000,New,New,v1|146456941048|0,Asus,8GB,Unknown,512GB,619.0,USD,0.0,619.0
v1|186603222392|0,komaks_bg,0.0,1000,New,New,v1|186603222392|0,Acer,8GB,Unknown,256GB,330.0,USD,11.99,341.99
v1|135588767135|0,krystelle-store,100.0,1000,New,New,v1|135588767135|0,Hyundai,4GB,Unknown,64GB,325.49,USD,16.99,342.48
v1|286368182258|0,kvhopart,100.0,1000,New,New,v1|286368182258|0,Intel,4GB,SSD,128GB,313.0,USD,0.0,313.0
v1|176391994324|0,lenovo,97.1,1000,New,New,v1|176391994324|0,Lenovo,Unknown,Unknown,Unknown,609.99,USD,0.0,609.99
v1|176884725464|0,lenovo,97.1,1000,New,New,v1|176884725464|0,Lenovo,Unknown,Unknown,Unknown,329.99,USD,0.0,329.99
v1|364655741251|0,lexk71,0.0,1000,New,New,v1|364655741251|0,HP,4GB,Unknown,64GB,250.0,USD,0.0,250.0
v1|175715677303|0,li_6345,96.6,1000,New,New,v1|175715677303|0,HP,4GB,Unknown,750GB,250.0,USD,0.0,250.0
v1|167271149356|0,lite_corp,98.9,1000,New,New,v1|167271149356|0,HP,8GB,Unknown,512GB,498.88,USD,0.0,498.88
v1|167427048151|0,lite_corp,98.9,1000,New,New,v1|167427048151|0,HP,8GB,Unknown,256GB,468.88,USD,0.0,468.88
v1|276954539645|0,luckystrikes04,93.3,1000,New,New,v1|276954539645|0,Intel,4GB,Unknown,1TB,259.79,USD,0.0,259.79
v1|236029706641|0,marjpes_0,100.0,1000,New,New,v1|236029706641|0,Intel,16GB,Unknown,512GB,499.98,USD,0.01,499.99
v1|186833633216|0,medoukiha_0,100.0,1000,New,New,v1|186833633216|0,Intel,4GB,Unknown,128GB,314.29,USD,0.0,314.29
v1|205043846451|0,mesocloud,97.1,1000,New,New,v1|205043846451|0,Lenovo,4GB,Unknown,64GB,249.99,USD,0.0,249.99
v1|265441654304|0,mhdtrade_6,66.7,1000,New,New,v1|265441654304|0,Asus,Unknown,Unknown,Unknown,300.0,USD,0.0,300.0
v1|276931108976|0,michigan-survey-contractors,100.0,1000,New,New,v1|276931108976|0,Lenovo,32GB,Unknown,Unknown,145.0,USD,0.0,145.0
v1|256780023817|0,mike*22,100.0,1000,New,New,v1|256780023817|0,Intel,8GB,SSD,128GB,399.99,USD,0.0,399.99
v1|316391602597|0,naler61,100.0,1000,New,New,v1|316391602597|0,ThinkPad,16GB,Unknown,512GB,271.24,USD,0.0,271.24
v1|256855850055|0,natspuffers,97.0,1000,New,New,v1|256855850055|0,Intel,8GB,SSD,256GB,359.0,USD,0.0,359.0
v1|386884667104|0,nbd-direct,97.7,1000,New,New,v1|386884667104|0,Intel,8GB,Unknown,128GB,178.99,USD,0.0,178.99
v1|156138151280|0,nbddi-67,99.5,1000,New,New,v1|156138151280|0,Intel,8GB,Unknown,128GB,179.99,USD,0.0,179.99
v1|226549447948|0,new.techies,97.8,1000,New,New,v1|226549447948|0,Intel,16GB,SSD,1TB,589.0,USD,0.0,589.0
v1|305923934830|0,newegg,98.5,1000,New,New,v1|305923934830|0,Intel,16GB,Unknown,Unknown,591.99,USD,0.0,591.99
v1|292108214021|0,newegg,98.5,1000,New,New,v1|292108214021|0,Intel,Unknown,Unknown,Unknown,183.99,USD,0.0,183.99
v1|175608921243|0,newmiker,99.0,1000,New,New,v1|175608921243|0,Lenovo,4GB,SSD,128GB,174.99,USD,0.0,174.99
v1|176621506939|0,newmiker,99.0,1000,New,New,v1|176621506939|0,HP,16GB,Unknown,128GB,354.99,USD,0.0,354.99
v1|175357440683|0,newmiker,99.0,1000,New,New,v1|175357440683|0,DynaBook,16GB,SSD,128GB,234.99,USD,0.0,234.99
v1|185506918924|0,newmiker,99.0,1000,New,New,v1|185506918924|0,DynaBook,4GB,SSD,128GB,199.99,USD,0.0,199.99
v1|294999466055|0,niqlu_ohio,100.0,1000,New,New,v1|294999466055|0,HP,4GB,Unknown,64GB,259.99,USD,0.0,259.99
v1|226639752515|0,noaam4556,99.6,1000,New,New,v1|226639752515|0,Intel,16GB,SSD,256GB,307.24,USD,0.0,307.24
v1|205393326212|0,nothingbutsavings,97.8,1000,New,New,v1|205393326212|0,Asus,4GB,Unknown,32GB,319.41,USD,0.0,319.41
v1|205396452954|0,nothingbutsavings,97.8,1000,New,New,v1|205396452954|0,Acer,4GB,Unknown,32GB,256.44,USD,0.0,256.44
v1|388197348782|0,nothingbutsavings,97.8,1000,New,New,v1|388197348782|0,Acer,4GB,Unknown,128GB,335.12,USD,0.0,335.12
v1|388197348826|0,nothingbutsavings,97.8,1000,New,New,v1|388197348826|0,Acer,4GB,Unknown,32GB,372.57,USD,0.0,372.57
v1|205396336428|0,nothingbutsavings,97.8,1000,New,New,v1|205396336428|0,Asus,8GB,Unknown,64GB,339.24,USD,0.0,339.24
v1|388197347771|0,nothingbutsavings,97.8,1000,New,New,v1|388197347771|0,Intel,Unknown,Unknown,Unknown,433.55,USD,0.0,433.55
v1|388197348378|0,nothingbutsavings,97.8,1000,New,New,v1|388197348378|0,Intel,Unknown,Unknown,Unknown,570.58,USD,0.0,570.58
v1|295853754755|0,oatetronic,100.0,1000,New,New,v1|295853754755|0,Acer,8GB,SSD,256GB,299.99,USD,39.99,339.98
v1|156197652486|0,officialhpstore,99.0,1000,New,New,v1|156197652486|0,HP,16GB,SSD,512GB,599.99,USD,0.0,599.99
v1|387721826303|0,orricha_40,96.3,1000,New,New,v1|387721826303|0,Acer,Unknown,SSD,4GB,239.99,USD,0.0,239.99
v1|316579230229|0,orsol_42,99.2,1000,New,New,v1|316579230229|0,Intel,Unknown,Unknown,Unknown,382.16,USD,0.0,382.16
v1|405722810832|0,ozbestbuy1,100.0,1000,New,New,v1|405722810832|0,Intel,12GB,SSD,128GB,294.3,USD,0.0,294.3
